"繰越ID","経理区分","年度","科目ID","前期繰越額","貸借区分"
6527,0,,44,\0,"借+"
6528,1,,44,\0,"借+"
6529,2,,44,\0,"借+"
6530,3,,44,\0,"借+"
6531,0,,45,\0,"借+"
6532,1,,45,\0,"借+"
6533,2,,45,\0,"借+"
6534,3,,45,\0,"借+"
6535,0,,46,\0,"借+"
6536,1,,46,\0,"借+"
6537,2,,46,\0,"借+"
6538,3,,46,\0,"借+"
6539,0,,47,\0,"借+"
6540,1,,47,\0,"借+"
6541,2,,47,\0,"借+"
6542,3,,47,\0,"借+"
6543,0,,48,\0,"借+"
6544,1,,48,\0,"借+"
6545,2,,48,\0,"借+"
6546,3,,48,\0,"借+"
6547,0,,49,\0,"借+"
6548,1,,49,\0,"借+"
6549,2,,49,\0,"借+"
6550,3,,49,\0,"借+"
6551,0,,50,\0,"借+"
6552,1,,50,\0,"借+"
6553,2,,50,\0,"借+"
6554,3,,50,\0,"借+"
6555,0,,51,\0,"借+"
6556,1,,51,\0,"借+"
6557,2,,51,\0,"借+"
6558,3,,51,\0,"借+"
6559,0,,52,\0,"借+"
6560,1,,52,\0,"借+"
6561,2,,52,\0,"借+"
6562,3,,52,\0,"借+"
6563,0,,53,\0,"借+"
6564,1,,53,\0,"借+"
6565,2,,53,\0,"借+"
6566,3,,53,\0,"借+"
6567,0,,54,\0,"借+"
6568,1,,54,\0,"借+"
6569,2,,54,\0,"借+"
6570,3,,54,\0,"借+"
6571,0,,55,\0,"借+"
6572,1,,55,\0,"借+"
6573,2,,55,\0,"借+"
6574,3,,55,\0,"借+"
6575,0,,56,\0,"借+"
6576,1,,56,\0,"借+"
6577,2,,56,\0,"借+"
6578,3,,56,\0,"借+"
6579,0,,57,\0,"借+"
6580,1,,57,\0,"借+"
6581,2,,57,\0,"借+"
6582,3,,57,\0,"借+"
6583,0,,58,\0,"借+"
6584,1,,58,\0,"借+"
6585,2,,58,\0,"借+"
6586,3,,58,\0,"借+"
6587,0,,59,\0,"借+"
6588,1,,59,\0,"借+"
6589,2,,59,\0,"借+"
6590,3,,59,\0,"借+"
6591,0,,60,\0,"借+"
6592,1,,60,\0,"借+"
6593,2,,60,\0,"借+"
6594,3,,60,\0,"借+"
6595,0,,61,\0,"借+"
6596,1,,61,\0,"借+"
6597,2,,61,\0,"借+"
6598,3,,61,\0,"借+"
6599,0,,62,\0,"借+"
6600,1,,62,\0,"借+"
6601,2,,62,\0,"借+"
6602,3,,62,\0,"借+"
6603,0,,63,\0,"借+"
6604,1,,63,\0,"借+"
6605,2,,63,\0,"借+"
6606,3,,63,\0,"借+"
6607,0,,64,\0,"借+"
6608,1,,64,\0,"借+"
6609,2,,64,\0,"借+"
6610,3,,64,\0,"借+"
6611,0,,65,\0,"借+"
6612,1,,65,\0,"借+"
6613,2,,65,\0,"借+"
6614,3,,65,\0,"借+"
6615,0,,66,\0,"借+"
6616,1,,66,\0,"借+"
6617,2,,66,\0,"借+"
6618,3,,66,\0,"借+"
6619,0,,67,\0,"借+"
6620,1,,67,\0,"借+"
6621,2,,67,\0,"借+"
6622,3,,67,\0,"借+"
6623,0,,68,\0,"借+"
6624,1,,68,\0,"借+"
6625,2,,68,\0,"借+"
6626,3,,68,\0,"借+"
6627,0,,69,\0,"借+"
6628,1,,69,\0,"借+"
6629,2,,69,\0,"借+"
6630,3,,69,\0,"借+"
6631,0,,70,\0,"借+"
6632,1,,70,\0,"借+"
6633,2,,70,\0,"借+"
6634,3,,70,\0,"借+"
6635,0,,71,\0,"借+"
6636,1,,71,\0,"借+"
6637,2,,71,\0,"借+"
6638,3,,71,\0,"借+"
6639,0,,72,\0,"借+"
6640,1,,72,\0,"借+"
6641,2,,72,\0,"借+"
6642,3,,72,\0,"借+"
6643,0,,73,\0,"借+"
6644,1,,73,\0,"借+"
6645,2,,73,\0,"借+"
